component_id,component,maturity,closest_formal_or_latest_work,venue_status,doi_or_arxiv,official_code_or_checkpoint,mechanism_solved,decision_time,uses_future_query_or_answer,training_required,fallback_allowed,dynamic_update,reported_result,known_failure_or_limit,independent_reproduction_or_forensic_note,boundary,interface_gap,primary_sources
1,Local / Sliding / Sparse Attention,MATURE,Longformer; BigBird; StreamingLLM; Native Sparse Attention (NSA),ACL/TACL 2020; NeurIPS 2020; ICLR 2024; ACL 2025 Best Paper,2004.05150; 2007.14062; 2309.17453; 10.18653/v1/2025.acl-long.1126,allenai/longformer; google-research/bigbird; mit-han-lab/streaming-llm; NSA author code not confirmed,local windows plus global/random/sink or learned hierarchical sparse branches reduce dense attention work,fixed pattern or decode-time selection; NSA uses learned coarse compression plus fine selection,usually yes for learned sparse attention; StreamingLLM no fine-tune,usually yes for learned sparse attention; StreamingLLM no fine-tune,some methods keep sinks/global tokens; no universal raw fallback,decode-time token/head selection in newer methods,Longformer and BigBird establish near-linear sparse patterns; NSA reports hardware-aligned speedups at 64K,sparse patterns can miss cross-window evidence; sink tokens are not semantic memory; kernel speedups are hardware-dependent,public code exists for Longformer/BigBird/StreamingLLM; no independent NSA reproduction used here,internal Transformer attention,no agreed interface to a multi-tier raw archive or post-use lifecycle,https://arxiv.org/abs/2004.05150; https://proceedings.neurips.cc/paper/2020/hash/c8512d142a2d849725f31a9a7a361ab9-Abstract.html; https://iclr.cc/media/iclr-2024/Slides/18794.pdf; https://aclanthology.org/2025.acl-long.1126/
2,Historical KV / context compression,MATURE,Compressive Transformer; AutoCompressor; ICAE; Activation Beacon; KVzip," ""ICLR 2020; EMNLP 2023; ICLR 2024; ICLR 2025; NeurIPS 2025""",1911.05507; 2305.14788; 2307.06945; 2401.03462; 2505.23416,AutoCompressors; ICAE; FlagOpen/FlagEmbedding Activation Beacon; snu-mllab/KVzip,"compress past activations, memory slots, summary vectors, or KV entries to reduce context/KV cost","at segment close, prefill, or post-prefill eviction",mostly query-agnostic; KVzip explicitly targets reuse across diverse queries,learned for high-quality compressors; H2O-like baselines training-free,often yes for learned compressors; H2O-like baselines are training-free,raw reconstruction or recomputation is available in some methods; not guaranteed exact,"progressive compression, query-agnostic eviction, and trained activation compression are established","repeated compression, fine detail, instruction retention, and multi-query generalization can fail",Hugging Face Infini-Attention reproduction documents convergence and repeated-compression problems; no claim of universal validity,internal context/KV representation,"compressed representation, router key, child pointer, and exact KV need a common contract",https://openreview.net/attachment?id=SylKikSYDH&name=original_pdf; https://aclanthology.org/2023.emnlp-main.232/; https://proceedings.iclr.cc/paper_files/paper/2024/hash/0b276510ec2d3f6613a8b60c41ff0438-Abstract-Conference.html; https://proceedings.iclr.cc/paper_files/paper/2025/hash/fc797c61eb18f7b3ce9a74af0ef0d876-Abstract-Conference.html; https://proceedings.neurips.cc/paper_files/paper/2025/hash/f4eaa4b8f2d08edb3f0af990d56134ea-Abstract-Conference.html
3,Query-agnostic compression,ACTIVE,KVzip; Activation Beacon; Gist Tokens; AutoCompressor," ""NeurIPS 2025; ICLR 2025; NeurIPS 2023; EMNLP 2023""",2505.23416; 2401.03462; 2304.08467; 2305.14788,snu-mllab/KVzip; FlagOpen/FlagEmbedding; jayelm/gisting; princeton-nlp/AutoCompressors,"score or train compression without seeing the eventual user query, allowing cache reuse",prefill/post-prefill or segment compression,query is hidden at compression time; KVzip uses reconstruction proxy rather than target query,learned for high-quality methods; Gist/AutoCompressor require adaptation,learned for high-quality methods; Gist/AutoCompressor require adaptation,some retain raw pointer or reconstruct; most do not promote after actual use,"3-4x KVzip, 8x Activation Beacon, and up to 26x Gist compression are reported in their settings",query-agnostic scores can under-retain rare future facts; instruction-specific degradation and prompt leakage are documented,The Pitfalls of KV Cache Compression is an independent preprint warning; Infini reproduction is negative evidence for repeated compression,internal KV or soft-prompt memory,query-independent importance and later observed utility are not unified,https://proceedings.neurips.cc/paper_files/paper/2025/hash/f4eaa4b8f2d08edb3f0af990d56134ea-Abstract-Conference.html; https://proceedings.iclr.cc/paper_files/paper/2025/hash/fc797c61eb18f7b3ce9a74af0ef0d876-Abstract-Conference.html; https://proceedings.neurips.cc/paper_files/paper/2023/hash/3d77c6dcc7f143aa2154e7f4d5e22d68-Abstract.html; https://arxiv.org/abs/2510.00231
4,Multi-resolution / hierarchical representation,ACTIVE,HMT; H²MT; NSA hierarchy; HeteroCache head taxonomy; R³Mem," ""NAACL 2025; arXiv 2026; ACL 2025; ACL 2026; Findings ACL 2025""",10.18653/v1/2025.naacl-long.410; 2605.24930; 10.18653/v1/2025.acl-long.1126; 2601.13684; 10.18653/v1/2025.findings-acl.235,OswaldHe/HMT-pytorch; H²MT code not located; HeteroCache author repository exists; R³Mem code not located,organize segments/entities/heads into levels and aggregate or allocate budgets by level,"offline tree construction, segment recurrence, or calibration before inference",usually no future query; H²MT routes a current query through the tree,HMT/R³Mem/NSA require training or adaptation; H²MT/HeteroCache calibration-based,HMT/R³Mem/NSA require training or adaptation; H²MT/HeteroCache are presented as training-free or calibration-based,HMT recalls memory; R³Mem reconstructs; H²MT prunes branches; none guarantees exact recovery for all levels,HMT reports lower inference memory; H²MT reports coarse-to-fine pruning; NSA reports hierarchy-aligned speed,hierarchical errors propagate; mean/attention pooling can erase rare details; H²MT remains preprint,HMT has official code; H²MT has no verified author code; R³Mem no author code located,internal/external boundary varies,"no shared semantics for node identity, versioning, stale child pointers, or promotion across levels",https://aclanthology.org/2025.naacl-long.410/; https://arxiv.org/abs/2605.24930; https://aclanthology.org/2025.findings-acl.235/; https://arxiv.org/abs/2601.13684
5,Routing / coarse-to-fine retrieval,ACTIVE,Landmark Attention; H²MT; HeteroCache; Quest/NSA sparse selection,NeurIPS 2023; arXiv 2026; ACL 2026; arXiv 2024/ACL 2025,10.52202/075280-2378; 2605.24930; 2601.13684; 2406.10774,epfml/landmark-attention; H²MT code not located; ponytaill/HeteroCache,"use a small landmark, hierarchy, or representative head to select a smaller raw block/KV set","query arrival or decode step, sometimes with offline calibration",current query is visible; future query is not needed for the route itself,Landmark/H²MT train or calibrate; HeteroCache training-free,Landmark/H²MT train or calibrate; HeteroCache training-free; Quest query-aware,Landmark and HeteroCache permit raw/CPU retrieval after selection,Landmark reports random access over 32K; H²MT reports branch pruning; HeteroCache reports async CPU retrieval,route misses are catastrophic; selection overhead and stale indexes can erase gains; multi-query reuse remains difficult,Landmark code includes reproduction paths; no independent H²MT reproduction located,routing layer,coarse-to-fine routing is not the same as lifecycle retention; no standard recall/cost protocol,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ab05dc8bf36a9f66edbff6992ec86f56-Abstract-Conference.html; https://arxiv.org/abs/2605.24930; https://arxiv.org/abs/2601.13684
6,Raw evidence / KV fallback,MATURE,Landmark Attention; HeteroCache; HCAttention; HiSparse,NeurIPS 2023; ACL 2026; journal/preprint 2026; preprint 2026,10.52202/075280-2378; 2601.13684; 2507.19823; 2608.07009,epfml/landmark-attention; ponytaill/HeteroCache; HiSparse code/status not fully checked,retain full blocks or host KV so a compact index can reload exact evidence,on a query miss or attention-drift trigger,future query hidden until it arrives; fallback is reactive,often training-free or uses a trained router,often training-free or uses a trained router,raw/host KV remains available while hot representation changes,supports the idea that first-time access can be served by cold/raw recovery,"fallback I/O can dominate; if data is only summarized, exact recovery is impossible; device transfer scheduling is workload-sensitive","SCBench explicitly separates generation, compression, retrieval, and loading; no universal cross-system reproduction",systems + internal KV,fallback must expose a bounded miss cost and preserve positional/layer semantics,https://github.com/epfml/landmark-attention; https://arxiv.org/abs/2601.13684; https://arxiv.org/abs/2507.19823; https://arxiv.org/abs/2608.07009
7,Reversible compression,ACTIVE,R³Mem; KVzip context reconstruction; HCAttention reversible eviction,Findings ACL 2025; NeurIPS 2025; preprint/journal 2026,10.18653/v1/2025.findings-acl.235; 10.52202/085713-5585; 2507.19823,R³Mem code not located; snu-mllab/KVzip; HCAttention code not confirmed,compressed state can reconstruct or re-fetch lower-resolution/raw context,on retrieval or reconstruction request,usually query arrives after compression; reconstruction may use current context,R³Mem uses parameter-efficient tuning; KVzip/HCAttention are mostly plug-in/training-free,R³Mem uses parameter-efficient tuning; KVzip/HCAttention are mostly plug-in/training-free,"yes in principle, but reconstruction is approximate and may require compute",R³Mem reports reversible hierarchical retrieval; KVzip reports 3-4x cache reduction,reconstruction quality may fail on rare/precise facts; repeated compression and instruction retention are open risks,R³Mem is peer-reviewed but lacks located code; no independent reproduction located,representation layer,exact reversibility versus useful reconstructability is not standardized or measured across tasks,https://aclanthology.org/2025.findings-acl.235/; https://proceedings.neurips.cc/paper_files/paper/2025/hash/f4eaa4b8f2d08edb3f0af990d56134ea-Abstract-Conference.html; https://arxiv.org/abs/2507.19823
8,Past-attention / recency / frequency importance,MATURE,H²O; StreamingLLM; SnapKV; Scissorhands,NeurIPS 2023; ICLR 2024; arXiv 2024; arXiv 2023,10.52202/075280-1506; 2309.17453; 2404.14469; 2305.17118,FMInference/H2O; mit-han-lab/streaming-llm; SnapKV code status varies,"use accumulated attention, recency, or persistence of importance to evict/retain KV","during decode, prefill observation, or fixed prompt window",does not require future query; uses past/current attention proxies,"mostly training-free, except methods adapted to backbone","mostly training-free, except methods adapted to backbone",limited local/raw fallback may be retained; no semantic guarantee,H²O reports up to 1.9x latency reduction and throughput gains; StreamingLLM reports stable long streams with sinks,attention-heavy tokens are not always semantically important; scan/multi-query workloads can break assumptions,many public implementations; third-party reproductions exist but exact hardware claims are not universal,internal KV cache,demonstrated utility must be distinguished from past attention accumulation,https://proceedings.neurips.cc/paper_files/paper/2023/hash/6ceefa7b15572587b78ecfcebb2827f8-Abstract-Conference.html; https://iclr.cc/media/iclr-2024/Slides/18794.pdf; https://arxiv.org/abs/2404.14469
9,Demonstrated post-use utility,ACTIVE,RMM / Eviction as Estimation; EVICPRESS context-level reprofile,arXiv 2026 preprint; EVICPRESS arXiv 2025 preprint,2607.24667,official code/checkpoint not verified in this audit,RMM delays commit and uses correctness-weighted demonstrated utility; EVICPRESS reprofiles context quality and reallocates compression/device at service level,"after a fixed lag and successful response, not at write time",near-future query/answer is observed after the item enters a provisional buffer; not clairvoyant at write,RMM training-free scorer; EVICPRESS uses offline profiling,training-free scorer in the preprint,RMM updates after fixed lag; EVICPRESS periodically reprofiles after quality drift,RMM controlled endogenous-reuse retention is strong but independent natural/streaming results weaken; EVICPRESS reports system-level quality/TTFT trade-offs with GPU/CPU/SSD,"RMM utility can collapse toward attention on natural text; EVICPRESS utility is context-level similarity to uncompressed answer, not exact KV evidence attribution",paper itself reports third-party KVPress comparison; separate reproduction/code provenance not verified,internal KV eviction,No confirmed token/block identity attribution from q1 answer utility followed by exact KV resource reallocation and decay,https://arxiv.org/abs/2607.24667; https://arxiv.org/html/2512.14946
10,Predicted future utility / reuse probability,ACTIVE,KVP / Learning to Evict; Robust Learning-Augmented Caching; reuse-distance prediction,arXiv 2026; ICML 2021; IEEE ICCD 2007,2602.10238; 10.1109/ICCD.2007.4601909,apple/ml-learning-to-evict includes code and weights; classical code varies,learn a score for future reuse/utility from KV features or access traces,write/prefill-time or read-time eviction; training is offline,future utility is available in training traces but not at deployment,KVP trains per-head RL agents offline; classical predictors learn from traces,KVP trains per-head RL agents offline; classical predictors are learned from traces,fallback can be combined with robust classical policies but is not intrinsic,KVP predicts future utility without inference-time overhead; learning-augmented caching adds worst-case insurance,distribution shift and predictor error can make learned eviction worse; training trace leakage must be prevented,KVP public code/weights; robust caching is independently evaluated on real traces; no internal-KV reproduction of all claims located,internal KV and classical cache,no consensus on how to combine predicted utility with observed post-use evidence and cold fallback,https://arxiv.org/abs/2602.10238; https://github.com/apple/ml-learning-to-evict; https://proceedings.mlr.press/v139/chledowski21a.html; https://doi.org/10.1109/ICCD.2007.4601909
